vote_trump,census_region,state,age,weight_2020,hispan,sex,race,income,education_category,stateicp
1,2,WI,37,0.18755863963702069,0,1,1,1,2,Wisconsin
1,1,NY,65,0.18559685591305275,0,1,1,1,2,New York
0,3,TN,49,0.46971194190920235,0,1,2,1,2,Tennessee
0,1,MA,25,0.5033469049065831,0,1,1,2,3,Massachusetts
1,2,KS,38,1.1019264428641162,0,1,1,1,2,Kansas
1,2,OH,48,0.5830087502011976,0,1,2,1,3,Ohio
0,2,IL,50,0.05526012862028526,0,1,1,1,3,Illinois
0,2,OH,57,0.2912315121234647,0,1,1,2,3,Ohio
0,4,UT,59,0.181782391907675,0,1,1,1,3,Utah
0,4,OR,43,0.1453828479196958,0,1,1,1,2,Oregon
1,3,KY,40,0.1472686168103969,0,1,1,1,1,Kentucky
1,2,NE,70,0.604565384131768,0,1,1,1,2,Nebraska
1,4,CA,39,0.37635712542439836,0,1,1,2,3,California
0,1,NJ,45,0.21244484146671472,0,1,1,1,2,New Jersey
1,4,CA,83,1.6107216244891691,0,1,1,1,2,California
1,2,IL,75,0.7192037653003623,0,1,1,2,3,Illinois
0,3,FL,44,0.1549294999203816,0,1,1,1,3,Florida
1,3,OK,25,0.4124303032184984,0,1,1,1,2,Oklahoma
0,3,TX,25,0.06027284928995509,1,1,1,1,3,Texas
1,4,ID,50,0.3064975299180264,0,1,1,1,2,Idaho
0,1,NY,28,0.8179159705158309,0,1,1,2,3,New York
0,3,TX,18,0.021176339050228397,1,1,5,1,2,Texas
0,2,WI,53,0.6020062711985823,0,1,1,3,3,Wisconsin
0,1,NH,25,1.2743928372399724,0,1,1,2,3,New Hampshire
0,4,CO,59,0.1270765684188814,0,1,1,1,2,Colorado
1,4,CA,44,5.000004443999683,1,1,1,2,2,California
0,3,NC,62,0.7617379787646067,0,1,1,2,2,North Carolina
1,1,PA,76,0.25748638668520774,0,1,1,1,3,Pennsylvania
0,3,TX,20,4.999809138568396,1,1,1,2,2,Texas
0,3,AL,21,0.15790255086811614,0,1,2,1,2,Alabama
0,1,VT,50,1.1012688601646035,0,1,1,2,3,Vermont
1,3,MD,51,0.9218839911710655,0,1,1,2,2,Maryland
1,1,NY,44,0.6374926057790533,1,1,1,2,3,New York
1,3,TN,57,1.7485278686798376,0,1,1,3,3,Tennessee
0,1,ME,32,0.8372529083479542,0,1,1,2,2,Maine
1,3,TN,48,0.2466111821029059,0,1,5,1,2,Tennessee
1,2,WI,58,1.539938749039019,0,1,1,3,2,Wisconsin
0,2,IA,70,1.2330814260877325,0,1,1,2,3,Iowa
1,3,TX,62,0.9312887470384026,0,1,1,2,2,Texas
0,3,AR,29,3.9084084619757083e-4,1,1,2,1,3,Arkansas
0,3,GA,57,1.049985623686868,0,1,1,2,2,Georgia
0,1,ME,34,0.49352234113083654,0,1,1,2,3,Maine
1,2,IL,62,0.10744305261251641,0,1,1,1,3,Illinois
1,1,CT,77,0.796469821579726,0,1,1,1,3,Connecticut
1,2,MI,56,0.18313009982926512,0,1,1,1,2,Michigan
0,3,TX,39,0.9269938189077378,0,1,1,2,3,Texas
0,1,NY,32,0.021694515956265235,0,1,2,1,3,New York
1,3,SC,38,0.22937074400140905,0,1,1,1,2,South Carolina
0,3,OK,53,0.6328940819421018,0,1,1,2,3,Oklahoma
0,2,IL,42,0.7417791905679109,1,1,3,2,3,Illinois
0,4,CA,32,0.07023585507759768,0,1,4,1,3,California
1,3,FL,57,0.43469127394469464,0,1,1,2,3,Florida
0,4,NV,21,0.4454273508479966,0,1,2,1,2,Nevada
1,4,CO,72,2.348830550687415,0,1,1,2,3,Colorado
1,4,WA,86,0.5789633533962312,0,1,1,1,1,Washington
0,2,MO,52,0.1312990072205437,0,1,1,1,2,Missouri
0,4,NM,53,0.3157887114492601,0,1,1,2,3,New Mexico
0,1,NY,52,0.6013696311289212,1,1,5,2,3,New York
1,3,TN,54,0.2923293847584769,0,1,1,1,2,Tennessee
0,1,MA,45,0.5265011442449367,0,1,4,4,3,Massachusetts
0,4,NV,61,0.1488914880723238,0,1,1,1,2,Nevada
0,1,NY,65,0.9268286966005164,0,1,1,2,2,New York
1,3,AL,51,0.7681383107195631,0,1,1,2,2,Alabama
0,2,IN,60,0.09069921605120254,0,1,1,1,2,Indiana
1,4,CA,27,0.40699806059558447,1,1,5,1,2,California
0,4,CA,66,0.20267927664620541,0,1,1,1,2,California
0,3,MD,62,2.8466436270824125,0,1,2,2,2,Maryland
0,3,FL,64,0.218969360171036,0,1,1,1,3,Florida
0,2,OH,59,0.21788715776891612,0,1,1,1,2,Ohio
0,3,OK,23,0.20912007822724163,0,1,2,1,2,Oklahoma
0,4,CA,64,0.07978113584835726,0,1,4,1,3,California
0,1,NJ,60,4.787287499843292,1,1,5,1,1,New Jersey
0,3,MD,52,0.6845260556075013,0,1,2,1,2,Maryland
0,2,MO,73,0.822991475341184,0,1,2,1,2,Missouri
0,1,PA,56,1.2005598582676675,0,1,2,2,2,Pennsylvania
0,4,CA,40,0.14324304487990272,0,1,1,1,2,California
0,4,CA,59,0.8124213322413717,0,1,5,2,2,California
0,3,NC,65,0.8160104684368533,0,1,2,1,2,North Carolina
0,2,IL,27,1.2978014884755202,0,1,1,2,3,Illinois
0,4,CA,68,0.1488914880723238,0,1,1,1,2,California
0,2,IN,67,0.3982039952566262,0,1,1,2,3,Indiana
1,3,GA,62,0.9332615069767883,0,1,1,1,2,Georgia
1,2,IL,30,0.24870988089986534,0,1,1,3,3,Illinois
1,4,OR,53,0.9314678939572938,0,1,3,1,2,Oregon
0,1,NY,33,0.01283461059191744,1,1,5,1,2,New York
0,2,MO,73,0.18515483788439957,0,1,1,1,3,Missouri
0,4,CA,51,0.24582085367964868,1,1,5,1,1,California
1,4,OR,47,0.21711635378010277,0,1,1,1,2,Oregon
0,1,PA,63,0.30312614964032525,0,1,1,2,3,Pennsylvania
0,1,NJ,21,0.06637054745277976,1,1,1,1,3,New Jersey
1,1,PA,52,0.26472130548926115,0,1,1,1,2,Pennsylvania
0,3,MD,66,0.27563578810961376,0,1,1,2,3,Maryland
1,3,OK,52,4.297093379226191,0,1,1,2,2,Oklahoma
1,4,CO,55,3.668024258085593,0,1,1,2,2,Colorado
1,1,PA,47,0.2753228609473712,0,1,1,2,3,Pennsylvania
1,3,FL,69,0.3519369941144563,0,1,1,1,2,Florida
0,2,OH,68,0.1515745216068167,0,1,1,1,2,Ohio
1,1,NJ,50,1.1997223991472035,0,1,1,2,3,New Jersey
1,1,NY,55,0.6166602919237429,0,1,1,2,3,New York
0,1,PA,22,0.6167207461344681,0,1,1,2,3,Pennsylvania
0,4,CA,53,0.5435543852035886,0,1,2,1,2,California
1,4,CA,68,0.9436225789681489,0,1,1,2,2,California
1,4,CA,36,0.6871426102783363,0,1,1,2,3,California
0,4,CA,50,0.29512944129734137,0,1,4,2,3,California
1,1,PA,53,0.8149794490553152,0,1,1,2,3,Pennsylvania
0,1,MA,38,0.2793417568371246,0,1,1,2,3,Massachusetts
1,2,OH,63,0.3756433997928201,0,1,1,1,2,Ohio
0,2,IL,69,0.3752465914718849,0,1,1,2,1,Illinois
1,4,MT,48,0.20787637464262962,0,1,1,1,3,Montana
0,2,SD,61,1.046178761896948,0,1,1,3,3,South Dakota
0,4,NV,48,0.18371161529303434,0,1,1,1,1,Nevada
0,1,NJ,61,0.19828952513452028,0,1,1,1,3,New Jersey
0,4,OR,55,0.6351557950768049,0,1,1,2,3,Oregon
0,2,IL,26,0.05090976089852679,0,0,4,1,3,Illinois
1,3,MD,41,0.1472686168103969,0,1,1,1,1,Maryland
